developer,price,items_count,id,year
Ronimo Games,0.0,629.0,204300.0,2012
Ronimo Games,0.0,108.0,204300.0,2012
Ronimo Games,0.0,198.0,204300.0,2012
Ronimo Games,0.0,119.0,204300.0,2012
Ronimo Games,0.0,212.0,204300.0,2012
Ronimo Games,0.0,99.0,204300.0,2012
Ronimo Games,0.0,28.0,204300.0,2012
Ronimo Games,0.0,51.0,204300.0,2012
Ronimo Games,0.0,51.0,204300.0,2012
Ronimo Games,0.0,51.0,204300.0,2012
Ronimo Games,0.0,51.0,204300.0,2012
Ronimo Games,0.0,160.0,204300.0,2012
Ronimo Games,0.0,127.0,204300.0,2012
Ronimo Games,0.0,174.0,204300.0,2012
Ronimo Games,0.0,128.0,204300.0,2012
Ronimo Games,0.0,259.0,204300.0,2012
Ronimo Games,0.0,127.0,204300.0,2012
Ronimo Games,0.0,223.0,204300.0,2012
Ronimo Games,0.0,98.0,204300.0,2012
Ronimo Games,0.0,10.0,204300.0,2012
Ronimo Games,0.0,283.0,204300.0,2012
Ronimo Games,0.0,283.0,204300.0,2012
Ronimo Games,0.0,283.0,204300.0,2012
Ronimo Games,0.0,283.0,204300.0,2012
Ronimo Games,0.0,,204300.0,2012
Ronimo Games,0.0,631.0,204300.0,2012
Ronimo Games,0.0,100.0,204300.0,2012
Ronimo Games,0.0,246.0,204300.0,2012
Ronimo Games,0.0,306.0,204300.0,2012
Ronimo Games,0.0,41.0,204300.0,2012
Ronimo Games,0.0,374.0,204300.0,2012
Ronimo Games,0.0,186.0,204300.0,2012
Ronimo Games,0.0,63.0,204300.0,2012
Ronimo Games,0.0,77.0,204300.0,2012
Ronimo Games,0.0,47.0,204300.0,2012
Ronimo Games,0.0,38.0,204300.0,2012
Ronimo Games,0.0,336.0,204300.0,2012
Ronimo Games,0.0,336.0,204300.0,2012
Ronimo Games,0.0,336.0,204300.0,2012
Ronimo Games,0.0,336.0,204300.0,2012
Ronimo Games,0.0,96.0,204300.0,2012
Ronimo Games,0.0,268.0,204300.0,2012
